,office,1_x,1_y,1_angle,1_patient,2_x,2_y,2_angle,2_patient,3_x,3_y,3_angle,3_patient,4_x,4_y,4_angle,4_patient,5_x,5_y,5_angle,5_patient,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office1_0_246_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,246.0,a,2232.9583333333335
office1_0_246_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,246.0,a,3525.1783333333333
office1_0_246_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,246.0,a,1180.4583333333333
office1_0_246_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,246.0,b,6767.633333333333
office1_0_246_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,246.0,b,4856.595
office1_0_246_bout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,246.0,b,2060.548333333333
office1_0_246_bout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,246.0,b,1812.3833333333334
office1_0_246_bout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,246.0,b,4458.566666666667
office1_0_41_aout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,41.0,a,3443.8033333333333
office1_0_41_aout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,41.0,a,2292.3083333333334
office1_0_41_aout_C,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,1,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,41.0,a,2380.065
office1_0_41_aout_D,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,1,2.885,1.241,90.0,0,6.0,5.5,0.0,41.0,a,3370.7483333333334
office1_0_41_aout_E,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,1,6.0,5.5,0.0,41.0,a,1986.7883333333334
office1_0_41_bout_A,office1,4.76,2.18,180.0,1,3.285,3.16,270.0,0,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,41.0,b,4912.881666666667
office1_0_41_bout_B,office1,4.76,2.18,180.0,0,3.285,3.16,270.0,1,1.835,3.16,270.0,0,1.435,1.241,90.0,0,2.885,1.241,90.0,0,6.0,5.5,0.0,41.0,b,1732.8266666666666
