,office,1_x,1_y,1_angle,2_x,2_y,2_angle,3_x,3_y,3_angle,4_x,4_y,4_angle,5_x,5_y,5_angle,size_x,size_y,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office2_660_82_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,660.0,82.0,a,2314.0156666666667
office2_660_82_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,660.0,82.0,b,1999.0116666666668
office2_960_0,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,960.0,0.0,off,1897.7483333333328
office2_960_164_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,960.0,164.0,a,2461.452
office2_960_164_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,960.0,164.0,b,1988.4493333333332
office2_960_246_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,960.0,246.0,a,2150.0223333333333
office2_960_246_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,960.0,246.0,b,1884.467666666667
office2_960_82_aout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,960.0,82.0,a,1519.332
office2_960_82_bout,office2,3.78,1.265,90.0,4.76,2.74,180.0,4.76,4.19,180.0,2.84,4.59,0.0,2.84,3.14,0.0,6.0,5.5,960.0,82.0,b,1447.0839999999998
office3_0_0,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,0.0,0.0,off,1548.4730000000002
office3_0_164_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,0.0,164.0,a,1690.697
office3_0_164_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,0.0,164.0,b,1534.0976666666666
office3_0_246_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,0.0,246.0,a,1671.6483333333335
office3_0_246_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,0.0,246.0,b,1550.941
office3_0_82_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,0.0,82.0,a,1560.422
office3_0_82_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,0.0,82.0,b,1324.0083333333334
office3_360_0,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,360.0,0.0,off,2038.7666666666669
office3_360_164_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,360.0,164.0,a,1582.3543333333334
office3_360_164_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,360.0,164.0,b,1604.451
office3_360_246_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,360.0,246.0,a,1496.0216666666668
office3_360_246_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,360.0,246.0,b,1548.9233333333332
office3_360_82_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,360.0,82.0,a,1696.955333333333
office3_360_82_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,360.0,82.0,b,1418.8826666666666
office3_660_0,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,660.0,0.0,off,1905.812666666667
office3_660_164_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,660.0,164.0,a,2541.099666666667
office3_660_164_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,660.0,164.0,b,2167.273333333333
office3_660_246_aout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,660.0,246.0,a,2156.103666666667
office3_660_246_bout,office3,5.016,0.94,0.0,5.016,2.39,0.0,5.016,3.84,0.0,0.985,1.99,180.0,0.985,0.54,180.0,6.0,5.5,660.0,246.0,b,1995.053
