A new study created in RDB with name: Poly_ElasticNet_104731
Trial 59 finished with value: -5.07810246980641 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 0.03533314198805893, 'l1_ratio': 0.5242832197561562, 'max_iter': 3718}. Best is trial 7 with value: 0.45362337450454016.
Trial 61 finished with value: -4.9170470723661355 and parameters: {'n_components': 2, 'degree': 2, 'alpha': 1.9770225173545088, 'l1_ratio': 0.3944339135171976, 'max_iter': 2333}. Best is trial 7 with value: 0.45362337450454016.
Trial 63 finished with value: -1.8964872855854769 and parameters: {'n_components': 4, 'degree': 1, 'alpha': 0.40068392717357904, 'l1_ratio': 0.770553937060277, 'max_iter': 68064}. Best is trial 7 with value: 0.45362337450454016.
Trial 30 finished with value: 0.037705186410301836 and parameters: {'n_components': 3, 'degree': 4, 'alpha': 0.0012389490840177934, 'l1_ratio': 0.4575636220585205, 'max_iter': 39611}. Best is trial 7 with value: 0.45362337450454016.
Trial 50 finished with value: 0.18011043306589453 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 0.004864011374460525, 'l1_ratio': 0.5474442466173549, 'max_iter': 56092}. Best is trial 7 with value: 0.45362337450454016.
Trial 66 finished with value: 0.17867478973258463 and parameters: {'n_components': 11, 'degree': 3, 'alpha': 1.5828104937616614, 'l1_ratio': 0.8870395087965885, 'max_iter': 81245}. Best is trial 7 with value: 0.45362337450454016.
Trial 64 finished with value: 0.17160269822664326 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 0.01648672535527517, 'l1_ratio': 0.7349447220820384, 'max_iter': 84706}. Best is trial 7 with value: 0.45362337450454016.
Trial 68 finished with value: -0.6150879325259332 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.3947644035692235, 'l1_ratio': 0.5343253044013131, 'max_iter': 62518}. Best is trial 7 with value: 0.45362337450454016.
Trial 70 finished with value: -0.391152951503509 and parameters: {'n_components': 5, 'degree': 3, 'alpha': 3.8808659529796254, 'l1_ratio': 0.03208042489490026, 'max_iter': 79948}. Best is trial 7 with value: 0.45362337450454016.
Trial 52 finished with value: 0.1272005627406085 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 3.2091099411207398, 'l1_ratio': 0.9282600256833258, 'max_iter': 24357}. Best is trial 7 with value: 0.45362337450454016.
Trial 72 finished with value: -1.8429334725677873 and parameters: {'n_components': 5, 'degree': 1, 'alpha': 0.0014891908703094335, 'l1_ratio': 0.5910348987985963, 'max_iter': 14963}. Best is trial 7 with value: 0.45362337450454016.
Trial 65 finished with value: 0.17318049300772315 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 0.004841613722119094, 'l1_ratio': 0.3124711372384379, 'max_iter': 66412}. Best is trial 7 with value: 0.45362337450454016.
Trial 74 finished with value: -5.080850174817959 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 0.08349086987238705, 'l1_ratio': 0.6228831659208436, 'max_iter': 3141}. Best is trial 7 with value: 0.45362337450454016.
Trial 75 finished with value: -0.23775496533807308 and parameters: {'n_components': 11, 'degree': 1, 'alpha': 0.07381447287841432, 'l1_ratio': 0.533031344283019, 'max_iter': 14495}. Best is trial 7 with value: 0.45362337450454016.
Trial 76 finished with value: 0.16701147636841313 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 0.2492062183120611, 'l1_ratio': 0.6317385775687481, 'max_iter': 76113}. Best is trial 7 with value: 0.45362337450454016.
Trial 73 finished with value: 0.13793807764609148 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 0.000660056339264487, 'l1_ratio': 0.08263672587318027, 'max_iter': 6115}. Best is trial 7 with value: 0.45362337450454016.
Trial 69 finished with value: 0.06732499223898128 and parameters: {'n_components': 4, 'degree': 3, 'alpha': 0.014161140630210503, 'l1_ratio': 0.7589566594357641, 'max_iter': 32798}. Best is trial 7 with value: 0.45362337450454016.
Trial 78 finished with value: -2.296484557142399 and parameters: {'n_components': 3, 'degree': 1, 'alpha': 0.002655189782965236, 'l1_ratio': 0.47543200978083655, 'max_iter': 60012}. Best is trial 7 with value: 0.45362337450454016.
Trial 79 finished with value: -1.7261701231799051 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.0006617370908703415, 'l1_ratio': 0.7555153645540295, 'max_iter': 41987}. Best is trial 7 with value: 0.45362337450454016.
Trial 80 finished with value: -5.165998493190663 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 1.2758100946655282, 'l1_ratio': 0.513497505204073, 'max_iter': 7198}. Best is trial 7 with value: 0.45362337450454016.
Trial 82 finished with value: -0.034637112134695405 and parameters: {'n_components': 5, 'degree': 4, 'alpha': 1.4208230780722388, 'l1_ratio': 0.598501934536644, 'max_iter': 64551}. Best is trial 7 with value: 0.45362337450454016.
Trial 83 finished with value: -1.7205986596585712 and parameters: {'n_components': 8, 'degree': 1, 'alpha': 0.027060980449449146, 'l1_ratio': 0.2558527418988119, 'max_iter': 24082}. Best is trial 7 with value: 0.45362337450454016.
Trial 84 finished with value: -4.834679214446373 and parameters: {'n_components': 1, 'degree': 4, 'alpha': 0.0012966087687988346, 'l1_ratio': 0.9157446621676449, 'max_iter': 49249}. Best is trial 7 with value: 0.45362337450454016.
Trial 48 finished with value: 0.13168704455564856 and parameters: {'n_components': 7, 'degree': 3, 'alpha': 0.023135601356791387, 'l1_ratio': 0.009236790610459789, 'max_iter': 32657}. Best is trial 7 with value: 0.45362337450454016.
Trial 24 finished with value: 0.07328990682969123 and parameters: {'n_components': 3, 'degree': 5, 'alpha': 0.007033638945067073, 'l1_ratio': 0.6432579980752292, 'max_iter': 73902}. Best is trial 7 with value: 0.45362337450454016.
Trial 71 finished with value: -0.13379217524131917 and parameters: {'n_components': 6, 'degree': 5, 'alpha': 6.369695846790291, 'l1_ratio': 0.6356875641049421, 'max_iter': 99557}. Best is trial 7 with value: 0.45362337450454016.
Trial 87 finished with value: -1.0192948000384265 and parameters: {'n_components': 3, 'degree': 2, 'alpha': 0.09685560960813, 'l1_ratio': 0.46494571639361293, 'max_iter': 8293}. Best is trial 7 with value: 0.45362337450454016.
