A new study created in RDB with name: SVR_172814
Trial 44 finished with value: -0.6637503986213769 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9945488004267066, 'degree': 4, 'C': 4.066761017050472}. Best is trial 39 with value: -0.018597391464526103.
Trial 48 finished with value: -5.357071839615789 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6638293196024811, 'degree': 3, 'C': 0.009014912367055523}. Best is trial 39 with value: -0.018597391464526103.
Trial 58 finished with value: -5.351889114181338 and parameters: {'kernel': 'rbf', 'epsilon': 0.12062606849206259, 'degree': 2, 'C': 0.0003421617938992342}. Best is trial 39 with value: -0.018597391464526103.
Trial 49 finished with value: -4.676801886969554 and parameters: {'kernel': 'poly', 'epsilon': 0.5350266014660955, 'degree': 6, 'C': 0.04371420430623429}. Best is trial 39 with value: -0.018597391464526103.
Trial 42 finished with value: -5.361222190892498 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.19628865624691239, 'degree': 5, 'C': 0.00036805582994438703}. Best is trial 39 with value: -0.018597391464526103.
Trial 54 finished with value: -0.8909524346505723 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.8414009479440708, 'degree': 4, 'C': 7.3656776581429195}. Best is trial 39 with value: -0.018597391464526103.
Trial 63 finished with value: -1.5325145541030014 and parameters: {'kernel': 'linear', 'epsilon': 0.2745134214230097, 'degree': 2, 'C': 0.034978282478583776}. Best is trial 39 with value: -0.018597391464526103.
Trial 52 finished with value: -1.3201061396255378 and parameters: {'kernel': 'rbf', 'epsilon': 0.3105176877718361, 'degree': 4, 'C': 1.5681416509500372}. Best is trial 39 with value: -0.018597391464526103.
Trial 59 finished with value: -5.372505102142867 and parameters: {'kernel': 'poly', 'epsilon': 0.8840885045084758, 'degree': 6, 'C': 0.002587115587058751}. Best is trial 39 with value: -0.018597391464526103.
Trial 57 finished with value: -5.4063059451501205 and parameters: {'kernel': 'poly', 'epsilon': 0.5765959565707928, 'degree': 2, 'C': 0.002053965941201116}. Best is trial 39 with value: -0.018597391464526103.
Trial 53 finished with value: -0.8180067122019494 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9657890148872417, 'degree': 3, 'C': 2.842863950529797}. Best is trial 39 with value: -0.018597391464526103.
Trial 51 finished with value: -2.171507746436022 and parameters: {'kernel': 'poly', 'epsilon': 0.947502971492735, 'degree': 6, 'C': 1.0892630514880122}. Best is trial 39 with value: -0.018597391464526103.
Trial 64 finished with value: -5.104765886315124 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.04864647546614487, 'degree': 4, 'C': 0.041566937553419434}. Best is trial 39 with value: -0.018597391464526103.
Trial 60 finished with value: -4.679120380493292 and parameters: {'kernel': 'rbf', 'epsilon': 0.1133018642645951, 'degree': 2, 'C': 0.15978170400432024}. Best is trial 39 with value: -0.018597391464526103.
Trial 66 finished with value: -4.386375701640947 and parameters: {'kernel': 'rbf', 'epsilon': 0.6096196068285793, 'degree': 2, 'C': 0.23762474695837957}. Best is trial 39 with value: -0.018597391464526103.
Trial 65 finished with value: -0.5307172892938712 and parameters: {'kernel': 'linear', 'epsilon': 0.8411088232456275, 'degree': 4, 'C': 0.11339481588310112}. Best is trial 39 with value: -0.018597391464526103.
Trial 67 finished with value: -5.357892314561811 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.17303496209409353, 'degree': 3, 'C': 0.00038311344865710623}. Best is trial 39 with value: -0.018597391464526103.
Trial 62 finished with value: -5.345773173624194 and parameters: {'kernel': 'rbf', 'epsilon': 0.07717625439580433, 'degree': 6, 'C': 0.0003733877479968995}. Best is trial 39 with value: -0.018597391464526103.
Trial 56 finished with value: -2.21989523268311 and parameters: {'kernel': 'poly', 'epsilon': 0.5423522940651325, 'degree': 6, 'C': 0.9550466432362005}. Best is trial 39 with value: -0.018597391464526103.
Trial 55 finished with value: -5.385262175876399 and parameters: {'kernel': 'linear', 'epsilon': 0.7408068907439537, 'degree': 6, 'C': 0.00020192343421557887}. Best is trial 39 with value: -0.018597391464526103.
Trial 69 finished with value: -4.887605172666917 and parameters: {'kernel': 'linear', 'epsilon': 0.07706284738846603, 'degree': 2, 'C': 0.0022910756333824763}. Best is trial 39 with value: -0.018597391464526103.
Trial 61 finished with value: -4.496173710353774 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.35103638983982954, 'degree': 6, 'C': 0.11554024801344287}. Best is trial 39 with value: -0.018597391464526103.
Trial 70 finished with value: -5.411560248801082 and parameters: {'kernel': 'rbf', 'epsilon': 0.6366403322944887, 'degree': 4, 'C': 0.003571848430008092}. Best is trial 39 with value: -0.018597391464526103.
Trial 72 finished with value: -0.09162962795789273 and parameters: {'kernel': 'linear', 'epsilon': 0.004982213281586878, 'degree': 2, 'C': 0.3291402082425394}. Best is trial 39 with value: -0.018597391464526103.
Trial 75 finished with value: -5.373477232767969 and parameters: {'kernel': 'linear', 'epsilon': 0.43128890232256634, 'degree': 5, 'C': 0.00012179090526919435}. Best is trial 39 with value: -0.018597391464526103.
Trial 68 finished with value: -3.4448863939661907 and parameters: {'kernel': 'poly', 'epsilon': 0.33264428175753635, 'degree': 5, 'C': 0.179565019094541}. Best is trial 39 with value: -0.018597391464526103.
Trial 76 finished with value: -4.02466422653184 and parameters: {'kernel': 'rbf', 'epsilon': 0.5802669971335366, 'degree': 4, 'C': 0.3287533177292359}. Best is trial 39 with value: -0.018597391464526103.
Trial 80 finished with value: -5.120630634584751 and parameters: {'kernel': 'linear', 'epsilon': 0.09856900611933528, 'degree': 6, 'C': 0.0013868887158411823}. Best is trial 39 with value: -0.018597391464526103.
Trial 77 finished with value: -4.900221711496291 and parameters: {'kernel': 'poly', 'epsilon': 0.7234474070891652, 'degree': 3, 'C': 0.056070000514550106}. Best is trial 39 with value: -0.018597391464526103.
Trial 79 finished with value: -5.415821582109411 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.5873882822105495, 'degree': 4, 'C': 0.00044587961931000507}. Best is trial 39 with value: -0.018597391464526103.
Trial 71 finished with value: -5.183966744507585 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.06355212656116227, 'degree': 2, 'C': 0.028919372156930318}. Best is trial 39 with value: -0.018597391464526103.
