casename,num_floating,volume[ml]
office4_0_246_aout_C,5749,4.09698696e-05
office4_0_246_aout_D,6548,3.30528092e-05
office4_0_246_aout_E,6274,8.02746945e-05
office4_0_246_bout_A,6766,6.18890117e-05
office4_0_246_bout_B,5497,6.54104515e-05
office4_0_246_bout_C,5477,4.2277934e-05
office4_0_246_bout_D,5213,5.50284967e-05
office4_0_246_bout_E,6747,2.21131431e-05
office4_0_82_aout_A,7130,8.68689822e-05
office4_0_82_aout_B,8019,6.92106914e-05
office4_0_82_aout_C,6188,5.28970122e-05
office4_0_82_aout_D,5607,6.1367864e-05
office4_0_82_aout_E,7791,7.38202434e-05
office4_0_82_bout_A,5938,2.53979379e-05
office4_0_82_bout_B,6181,3.42745516e-05
office4_0_82_bout_C,3708,2.8095028e-05
office4_0_82_bout_D,5323,3.23992499e-05
office4_0_82_bout_E,7401,7.34284476e-05
office4_360_0_A,5391,4.4522043e-05
office4_360_0_B,7019,0.000110408073
office4_360_0_C,4514,3.54052136e-05
office4_360_0_D,6236,4.46352969e-05
office4_360_0_E,7052,6.88996442e-05
office4_360_164_aout_A,5248,5.25747746e-05
office4_360_164_aout_B,4811,7.10322711e-05
office4_360_164_aout_C,5596,4.66262572e-05
office4_360_164_aout_D,5397,6.98942604e-05
office4_360_164_aout_E,6481,7.51936968e-05
office4_360_164_bout_A,5148,3.79113553e-05
office4_360_164_bout_B,5891,6.46249537e-05
office4_360_164_bout_C,6204,5.24303177e-05
office4_360_164_bout_D,6997,3.15709694e-05
office4_360_164_bout_E,7420,7.6046279e-05
office4_360_246_aout_A,4807,3.23200766e-05
office4_360_246_aout_B,5107,6.11082651e-05
office4_360_246_aout_C,7326,5.60912449e-05
office4_360_246_aout_D,5340,4.8649199e-05
office4_360_246_aout_E,5384,5.59450709e-05
office4_360_246_bout_A,5699,4.45759506e-05
office4_360_246_bout_B,4807,7.80487026e-05
office4_360_246_bout_C,6281,6.10719362e-05
office4_360_246_bout_D,6270,3.73144212e-05
office4_360_246_bout_E,6670,8.19726774e-05
office4_360_82_aout_A,5874,4.03545309e-05
office4_360_82_aout_B,7325,6.72605456e-05
office4_360_82_aout_C,5096,2.80599761e-05
office4_360_82_aout_D,5181,4.35668589e-05
