A new study created in RDB with name: Poly_ElasticNet_93751
Trial 53 finished with value: 0.7332554723076339 and parameters: {'n_components': 7, 'degree': 3, 'alpha': 0.05229301925973627, 'l1_ratio': 0.9783548684064999, 'max_iter': 61038}. Best is trial 1 with value: 0.7997489209884635.
Trial 37 finished with value: 0.743823212836668 and parameters: {'n_components': 11, 'degree': 2, 'alpha': 0.00019878926032919033, 'l1_ratio': 0.7473983002357386, 'max_iter': 60352}. Best is trial 1 with value: 0.7997489209884635.
Trial 74 finished with value: 0.4388261143766795 and parameters: {'n_components': 9, 'degree': 1, 'alpha': 0.6517210939683056, 'l1_ratio': 0.8717706967296606, 'max_iter': 95846}. Best is trial 1 with value: 0.7997489209884635.
Trial 73 finished with value: 0.7975993881184653 and parameters: {'n_components': 10, 'degree': 3, 'alpha': 0.14321210722519395, 'l1_ratio': 0.04857017291665644, 'max_iter': 56125}. Best is trial 1 with value: 0.7997489209884635.
Trial 76 finished with value: 0.706553763939296 and parameters: {'n_components': 3, 'degree': 3, 'alpha': 0.06002446083071558, 'l1_ratio': 0.2605502013979817, 'max_iter': 38831}. Best is trial 1 with value: 0.7997489209884635.
Trial 65 finished with value: 0.7307287257188257 and parameters: {'n_components': 4, 'degree': 4, 'alpha': 0.14557081208990275, 'l1_ratio': 0.28897535814713826, 'max_iter': 82343}. Best is trial 1 with value: 0.7997489209884635.
Trial 70 finished with value: 0.7383300848432324 and parameters: {'n_components': 8, 'degree': 2, 'alpha': 0.00030708506285298065, 'l1_ratio': 0.20515131337759862, 'max_iter': 36883}. Best is trial 1 with value: 0.7997489209884635.
Trial 79 finished with value: 0.706891033670336 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 1.6321879405498956, 'l1_ratio': 0.22939191981055562, 'max_iter': 19375}. Best is trial 1 with value: 0.7997489209884635.
Trial 80 finished with value: 0.7119114932940775 and parameters: {'n_components': 9, 'degree': 2, 'alpha': 1.6507573157138897, 'l1_ratio': 0.8788651937573294, 'max_iter': 56789}. Best is trial 1 with value: 0.7997489209884635.
Trial 4 finished with value: 0.6598950804611861 and parameters: {'n_components': 8, 'degree': 5, 'alpha': 0.3305087592063678, 'l1_ratio': 0.7781608412896674, 'max_iter': 18469}. Best is trial 1 with value: 0.7997489209884635.
Trial 78 finished with value: 0.7307536446793311 and parameters: {'n_components': 8, 'degree': 4, 'alpha': 4.084404663398946, 'l1_ratio': 0.4787267230968706, 'max_iter': 88224}. Best is trial 1 with value: 0.7997489209884635.
Trial 82 finished with value: 0.04857181775495127 and parameters: {'n_components': 2, 'degree': 1, 'alpha': 1.7043021031573575, 'l1_ratio': 0.7702482260262539, 'max_iter': 89618}. Best is trial 1 with value: 0.7997489209884635.
Trial 84 finished with value: 0.6768045294232964 and parameters: {'n_components': 7, 'degree': 3, 'alpha': 4.006571537195354, 'l1_ratio': 0.20917433263810425, 'max_iter': 26211}. Best is trial 1 with value: 0.7997489209884635.
Trial 83 finished with value: 0.7539519995229716 and parameters: {'n_components': 10, 'degree': 2, 'alpha': 0.003721921912706303, 'l1_ratio': 0.1511437315178118, 'max_iter': 62264}. Best is trial 1 with value: 0.7997489209884635.
Trial 18 finished with value: 0.7553273599700874 and parameters: {'n_components': 5, 'degree': 5, 'alpha': 0.0025335900416292977, 'l1_ratio': 0.19021417792767792, 'max_iter': 53766}. Best is trial 1 with value: 0.7997489209884635.
Trial 87 finished with value: 0.30982594743401115 and parameters: {'n_components': 4, 'degree': 1, 'alpha': 2.151598901912953, 'l1_ratio': 0.2107554212228826, 'max_iter': 71207}. Best is trial 1 with value: 0.7997489209884635.
