0_0,0_123_aout,0_123_bout,0_164_aout,0_164_bout,0_205_aout,0_205_bout,0_246_aout,0_246_bout,0_41_aout,0_41_bout,0_82_aout,0_82_bout,660_0,660_123_aout,660_123_bout,660_164_aout,660_164_bout,660_205_aout,660_205_bout,660_246_aout,660_246_bout,660_41_aout,660_41_bout,660_82_aout,660_82_bout,960_0,960_123_aout,960_123_bout,960_164_aout,960_164_bout,960_205_aout,960_205_bout,960_246_aout,960_246_bout,960_41_aout,960_41_bout,960_82_aout,960_82_bout
6481.8,5169.2,5831.6,6150.2,5129.6,5566.2,5416.4,5919.6,4512.4,5727.2,6073.2,5522.2,5710.8,3658.4,2682.2,3974.4,2757.8,3004.4,4998.6,3260.0,3406.4,3793.4,3329.2,3510.2,2150.4,4961.4,2081.8,2403.4,3291.8,1258.4,1474.2,2092.0,2733.6,2503.2,2826.2,2115.0,4754.4,3687.8,3300.8
6473.4,5106.2,5408.6,6069.2,5122.4,5554.8,5311.8,5930.8,4519.4,5664.8,5994.8,5506.4,5642.0,3723.0,2723.2,3871.4,2703.4,3031.4,4984.6,3254.8,3395.4,3753.6,3251.6,3444.8,2122.8,4975.0,2074.6,2404.0,3263.6,1258.0,1497.8,2043.6,2676.0,2473.2,2828.8,2115.0,4699.0,3688.0,3313.6
6484.6,5088.4,5223.2,6053.4,5117.8,5592.4,5065.2,5957.0,4568.6,5569.6,5924.4,5506.6,5610.6,3763.4,2737.0,3784.6,2693.6,3027.0,5000.4,3253.0,3389.4,3640.2,3204.6,3428.6,2096.8,5011.6,2043.6,2367.6,3217.0,1295.4,1497.4,2047.0,2593.2,2333.4,2827.0,2116.4,4696.2,3514.0,3293.2
6452.2,5067.4,5269.4,6002.4,5184.6,5618.8,5045.0,5949.0,4557.4,5416.4,5855.4,5512.0,5587.4,3815.2,2709.0,3784.8,2666.6,3010.4,4954.0,3228.6,3365.8,3623.4,3260.8,3376.8,2086.0,4978.8,1863.2,2341.2,3166.6,1390.2,1433.6,2002.6,2551.8,2117.2,2812.0,2112.0,4607.6,3500.0,3287.2
6303.8,5063.2,5246.2,5737.4,5207.0,5640.4,4928.4,5939.6,4556.2,5390.8,5907.4,5520.2,5576.6,3812.6,2697.8,3759.0,2642.4,3015.8,4895.0,3221.2,3393.0,3590.6,3260.4,3281.2,2066.8,4209.6,1776.8,2336.0,3289.2,1471.4,1364.0,1953.6,2540.0,2070.2,2793.2,2091.4,4586.0,3533.2,3395.4
6250.4,5031.6,5276.6,5654.4,5209.8,5695.8,4861.2,5921.0,4533.2,5321.0,5793.6,5468.8,5515.2,3809.4,2693.8,3761.8,2587.2,3052.4,4806.4,3204.8,3367.4,3574.2,3234.8,3273.6,2047.6,4258.6,1740.6,2338.0,3320.2,1493.8,1313.8,1943.6,2469.4,1988.4,2790.6,2072.4,4562.6,3484.0,3369.4
6204.8,5005.0,5288.2,5590.8,5220.0,5700.8,4742.2,5895.2,4505.6,5221.6,5713.2,5319.2,5502.4,3809.4,2626.6,3742.6,2582.2,3054.8,4728.4,3176.4,3348.6,3543.4,3230.2,3240.0,2032.2,4184.4,1666.6,2339.0,3313.0,1574.6,1219.0,1937.4,2455.2,1953.0,2776.6,1959.0,4502.2,3425.6,3386.8
6170.8,4978.0,5239.8,5584.4,5210.4,5696.8,4717.6,5865.8,4460.2,5148.4,5667.8,5310.2,5451.4,3783.8,2573.4,3704.0,2573.6,3020.8,4578.0,3123.8,3335.4,3497.0,3396.2,2895.8,2014.4,4114.0,1644.8,2358.0,3314.4,1560.8,1200.2,1947.0,2451.4,1956.8,2777.4,1776.6,4427.8,3263.6,3339.4
6142.8,4917.6,5222.4,5579.6,5154.6,5719.6,4694.2,5846.6,4445.2,5168.8,5589.6,5276.6,5437.6,3765.8,2542.4,3727.4,2562.4,2992.8,4518.8,3023.0,3350.2,3484.0,3393.2,2884.8,1973.0,3968.8,1630.8,2412.2,3317.6,1550.0,1155.2,1898.2,2414.0,1936.8,2766.2,1535.8,4353.2,3099.2,3327.4
6126.0,4660.2,5203.0,5546.6,4769.2,5752.4,4676.6,5830.2,4317.8,5154.0,5519.6,5261.0,5425.6,3771.4,2526.8,3482.8,2550.8,2994.2,4464.0,2933.4,3365.6,3472.6,3357.0,2878.4,1914.8,3924.2,1644.2,2438.2,3324.6,1542.8,1162.0,1877.2,2415.8,1929.0,2759.8,1497.8,4234.8,3014.8,3152.8
6117.8,4532.8,5281.2,5521.8,4726.2,5688.0,4681.6,5822.6,4205.8,5129.2,5450.6,5262.8,5423.2,3756.8,2502.0,3436.0,2542.0,2982.2,4299.4,2882.0,3483.2,3482.8,3344.0,2866.4,1886.4,3911.8,1689.8,2478.8,3324.4,1518.8,1142.6,1862.8,2460.2,1931.4,2757.2,1493.2,4215.6,2917.2,3156.6
6114.8,4439.6,5323.2,5513.2,4600.8,5481.0,4739.8,5808.6,4267.2,5128.8,5433.2,5220.8,5464.8,3761.6,2482.0,3379.6,2493.0,3015.6,4161.4,2834.8,3523.2,3466.8,3324.4,2867.2,1741.0,3892.2,1701.0,2631.6,3420.2,1490.6,1131.6,1847.6,2305.2,1947.4,2756.0,1452.2,4204.8,2811.2,3112.4
6077.0,4401.4,5361.8,5387.0,4624.2,5439.0,4641.6,5785.6,4288.8,5059.8,5410.8,5178.6,5520.0,3777.2,2477.8,3252.0,2473.0,3011.6,4179.4,2779.0,3525.6,3424.6,3264.6,2869.6,1584.6,3794.2,1707.0,2698.8,3588.0,1482.2,1177.8,1839.0,2216.8,1981.4,2753.6,1443.8,4222.8,2618.0,3027.2
