casename,num_drop,volume[ml],RoI
office1_660_123_aout_C,5513,1.208913e-05,167.06060606060606
office1_960_123_aout_A,2133,2.4085708e-05,64.63636363636364
office1_660_205_bout_A,4590,4.1613348e-05,139.0909090909091
office1_660_41_aout_C,2441,7.04045897e-06,73.96969696969697
office1_0_246_aout_E,3942,2.45480078e-05,119.45454545454545
office1_960_164_bout_E,2345,1.27080748e-05,71.06060606060606
office1_0_164_bout_D,3645,3.9764207e-05,110.45454545454545
office1_960_82_aout_E,2680,2.72988054e-05,81.21212121212122
office1_660_82_aout_C,3295,1.25937131e-05,99.84848484848484
office1_0_82_bout_D,2067,4.53200118e-05,62.63636363636363
office1_660_123_aout_B,273,7.93512481e-06,8.272727272727273
office1_660_246_aout_D,1100,5.52446272e-06,33.333333333333336
office1_960_0_D,2301,2.9740635e-05,69.72727272727273
office1_0_164_aout_D,6762,4.17484771e-05,204.9090909090909
office1_0_41_bout_C,3645,1.68605857e-05,110.45454545454545
office1_960_82_aout_D,2441,3.32849195e-05,73.96969696969697
office1_0_205_aout_A,4748,7.36299407e-05,143.87878787878788
office1_660_164_bout_A,1107,2.92744107e-06,33.54545454545455
office1_660_246_bout_B,3825,2.98252071e-05,115.9090909090909
office1_0_82_aout_B,3355,2.59170374e-05,101.66666666666667
office1_0_246_aout_A,5076,2.0460624e-05,153.8181818181818
office1_660_82_aout_A,1398,1.94802542e-05,42.36363636363637
office1_0_205_aout_D,4821,1.55679463e-05,146.0909090909091
office1_660_41_bout_E,514,8.98434973e-06,15.575757575757576
office1_960_205_bout_C,3237,2.06362092e-05,98.0909090909091
office1_660_205_aout_A,333,3.01611526e-05,10.090909090909092
office1_960_205_bout_D,4445,4.51424094e-05,134.6969696969697
office1_0_205_aout_C,5169,6.3319676e-05,156.63636363636363
office1_0_164_bout_A,6418,3.14021672e-05,194.4848484848485
office1_960_82_aout_C,2533,1.3656454e-05,76.75757575757575
office1_660_82_aout_E,170,9.04424724e-06,5.151515151515151
office1_660_164_bout_D,2740,2.42582919e-05,83.03030303030303
office1_0_164_aout_C,1881,2.15574237e-05,57.0
office1_660_164_bout_C,1410,2.02109604e-05,42.72727272727273
office1_960_41_aout_E,300,1.71772467e-06,9.090909090909092
office1_960_205_aout_C,1282,4.81397292e-05,38.84848484848485
office1_0_164_bout_E,1664,4.87276475e-06,50.42424242424242
office1_660_82_aout_D,1390,1.23210366e-05,42.121212121212125
office1_660_41_bout_A,2412,3.48658723e-05,73.0909090909091
office1_960_205_aout_D,2658,1.89786933e-05,80.54545454545455
office1_0_205_bout_B,6398,3.86973443e-05,193.87878787878788
office1_0_41_aout_E,5022,2.33435276e-05,152.1818181818182
office1_0_0_B,5183,5.28087548e-05,157.06060606060606
office1_0_0_D,3707,2.22246854e-05,112.33333333333333
office1_660_123_bout_D,4913,4.75786401e-05,148.87878787878788
office1_960_164_aout_B,2849,3.79119956e-05,86.33333333333333
office1_960_41_bout_B,4859,4.31187036e-05,147.24242424242425
office1_0_41_bout_D,5964,1.68412244e-05,180.72727272727272
office1_660_41_bout_D,4559,3.72451432e-05,138.15151515151516
office1_660_246_aout_B,1485,2.17950455e-05,45.0
office1_0_246_aout_D,5750,2.47649896e-05,174.24242424242425
office1_660_164_bout_E,2031,5.43702663e-05,61.54545454545455
office1_0_123_aout_D,4535,2.26005359e-05,137.42424242424244
office1_0_41_aout_B,5605,1.44289697e-05,169.84848484848484
office1_0_164_aout_A,4652,3.19266837e-05,140.96969696969697
office1_0_246_bout_C,302,6.72178066e-06,9.151515151515152
office1_0_246_bout_E,7589,5.95628371e-05,229.96969696969697
office1_660_0_C,2419,9.8273822e-06,73.3030303030303
office1_660_41_aout_B,2929,2.5916579e-05,88.75757575757575
office1_660_82_bout_D,2997,3.78957848e-05,90.81818181818181
office1_660_123_bout_E,1023,1.14044553e-06,31.0
office1_960_246_aout_C,5569,5.42896014e-05,168.75757575757575
office1_960_246_bout_C,5121,3.54767726e-05,155.1818181818182
office1_960_246_bout_D,3933,5.334261e-05,119.18181818181819
