A new study created in RDB with name: SVR_14125
Trial 69 finished with value: -5.260914906284794 and parameters: {'kernel': 'rbf', 'epsilon': 0.7969108294665933, 'degree': 3, 'C': 0.028224860677655825}. Best is trial 11 with value: 0.05531934963934123.
Trial 63 finished with value: -5.385580054284508 and parameters: {'kernel': 'rbf', 'epsilon': 0.4187785916042329, 'degree': 2, 'C': 0.0024198945503089166}. Best is trial 11 with value: 0.05531934963934123.
Trial 58 finished with value: -4.887539738117896 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.4119170015584971, 'degree': 6, 'C': 0.06608561728501453}. Best is trial 11 with value: 0.05531934963934123.
Trial 70 finished with value: -5.412907712818417 and parameters: {'kernel': 'poly', 'epsilon': 0.5690676989889472, 'degree': 4, 'C': 0.0003377895290066733}. Best is trial 11 with value: 0.05531934963934123.
Trial 67 finished with value: -5.418379772102119 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.8846009381560115, 'degree': 2, 'C': 0.0003292565437389068}. Best is trial 11 with value: 0.05531934963934123.
Trial 73 finished with value: -0.8657060708240923 and parameters: {'kernel': 'rbf', 'epsilon': 0.2715884695737981, 'degree': 6, 'C': 2.2172233753753026}. Best is trial 11 with value: 0.05531934963934123.
Trial 66 finished with value: -5.265422121086764 and parameters: {'kernel': 'poly', 'epsilon': 0.41044297830511434, 'degree': 2, 'C': 0.024275794113413605}. Best is trial 11 with value: 0.05531934963934123.
Trial 72 finished with value: -2.1638376623297098 and parameters: {'kernel': 'rbf', 'epsilon': 0.5177362016193037, 'degree': 3, 'C': 0.9983177528486251}. Best is trial 11 with value: 0.05531934963934123.
Trial 75 finished with value: -0.38062529685982915 and parameters: {'kernel': 'linear', 'epsilon': 0.645709364343712, 'degree': 6, 'C': 0.1420494733064786}. Best is trial 11 with value: 0.05531934963934123.
Trial 71 finished with value: -4.678568803701314 and parameters: {'kernel': 'rbf', 'epsilon': 0.4312204016338905, 'degree': 6, 'C': 0.16374707290277618}. Best is trial 11 with value: 0.05531934963934123.
Trial 77 finished with value: -4.141775993896461 and parameters: {'kernel': 'rbf', 'epsilon': 0.073336851537524, 'degree': 4, 'C': 0.3047459923118844}. Best is trial 11 with value: 0.05531934963934123.
Trial 76 finished with value: -4.908460353594246 and parameters: {'kernel': 'poly', 'epsilon': 0.88721179548693, 'degree': 5, 'C': 0.037633777166415014}. Best is trial 11 with value: 0.05531934963934123.
Trial 79 finished with value: -3.9866130410990754 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.3410936319391147, 'degree': 3, 'C': 0.19261765620210075}. Best is trial 11 with value: 0.05531934963934123.
Trial 78 finished with value: -2.591211292341094 and parameters: {'kernel': 'linear', 'epsilon': 0.09722491724051152, 'degree': 4, 'C': 0.01701819705812474}. Best is trial 11 with value: 0.05531934963934123.
Trial 86 finished with value: -4.895745810992314 and parameters: {'kernel': 'poly', 'epsilon': 0.6018618729803172, 'degree': 3, 'C': 0.0582531016338584}. Best is trial 11 with value: 0.05531934963934123.
Trial 83 finished with value: -3.2569092869068292 and parameters: {'kernel': 'poly', 'epsilon': 0.5659649301608608, 'degree': 4, 'C': 0.2794655131690614}. Best is trial 11 with value: 0.05531934963934123.
Trial 74 finished with value: -0.06368960057461584 and parameters: {'kernel': 'linear', 'epsilon': 0.7343048945133241, 'degree': 4, 'C': 0.4376003138341601}. Best is trial 11 with value: 0.05531934963934123.
Trial 80 finished with value: -5.29833568187958 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6582213667583384, 'degree': 3, 'C': 0.015053972000055474}. Best is trial 11 with value: 0.05531934963934123.
Trial 90 finished with value: -5.348756260656306 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.7256938568181699, 'degree': 2, 'C': 0.009229498933860726}. Best is trial 11 with value: 0.05531934963934123.
Trial 85 finished with value: -1.7679155523951176 and parameters: {'kernel': 'linear', 'epsilon': 0.8061533594744937, 'degree': 2, 'C': 0.028986868082174207}. Best is trial 11 with value: 0.05531934963934123.
Trial 82 finished with value: -1.1172688650363214 and parameters: {'kernel': 'rbf', 'epsilon': 0.7240204316124165, 'degree': 5, 'C': 1.7920137796540407}. Best is trial 11 with value: 0.05531934963934123.
Trial 87 finished with value: -5.419496699456011 and parameters: {'kernel': 'poly', 'epsilon': 0.622520217216103, 'degree': 3, 'C': 0.0005167297147412967}. Best is trial 11 with value: 0.05531934963934123.
Trial 89 finished with value: -5.067319453325199 and parameters: {'kernel': 'poly', 'epsilon': 0.46295903206774824, 'degree': 3, 'C': 0.04019909234835431}. Best is trial 11 with value: 0.05531934963934123.
Trial 81 finished with value: -4.431489483867301 and parameters: {'kernel': 'poly', 'epsilon': 0.2243258731697665, 'degree': 3, 'C': 0.11856770133880877}. Best is trial 11 with value: 0.05531934963934123.
Trial 94 finished with value: -5.420062827592655 and parameters: {'kernel': 'rbf', 'epsilon': 0.6072055342638986, 'degree': 4, 'C': 0.00041259336052306615}. Best is trial 11 with value: 0.05531934963934123.
Trial 88 finished with value: -5.319975696052015 and parameters: {'kernel': 'rbf', 'epsilon': 0.5205089097831025, 'degree': 4, 'C': 0.023084398410852875}. Best is trial 11 with value: 0.05531934963934123.
Trial 96 finished with value: -5.3220372276737296 and parameters: {'kernel': 'linear', 'epsilon': 0.10015384885413992, 'degree': 2, 'C': 0.00014937591296217186}. Best is trial 11 with value: 0.05531934963934123.
Trial 84 finished with value: -5.342421745246397 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.010357229141658486, 'degree': 3, 'C': 0.00025016094218251937}. Best is trial 11 with value: 0.05531934963934123.
