A new study created in RDB with name: SVR_65137
Trial 60 finished with value: -0.061871419417045014 and parameters: {'kernel': 'poly', 'epsilon': 0.5579386537080253, 'degree': 2, 'C': 0.0032061696784085156}. Best is trial 3 with value: 0.7752417975614934.
Trial 52 finished with value: -0.05923535003569606 and parameters: {'kernel': 'linear', 'epsilon': 0.6107819542397503, 'degree': 4, 'C': 0.00020950208817329652}. Best is trial 3 with value: 0.7752417975614934.
Trial 50 finished with value: 0.3477903238257383 and parameters: {'kernel': 'linear', 'epsilon': 0.7675920068534243, 'degree': 5, 'C': 0.02728081027838345}. Best is trial 3 with value: 0.7752417975614934.
Trial 58 finished with value: 0.7199930180880802 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.25673735581456336, 'degree': 3, 'C': 6.2512936792614555}. Best is trial 3 with value: 0.7752417975614934.
Trial 62 finished with value: -0.06230342826292099 and parameters: {'kernel': 'poly', 'epsilon': 0.4675794429531066, 'degree': 2, 'C': 0.0016859218982855442}. Best is trial 3 with value: 0.7752417975614934.
Trial 54 finished with value: -0.06104126720198423 and parameters: {'kernel': 'poly', 'epsilon': 0.3019700387279436, 'degree': 4, 'C': 0.0025053946986904204}. Best is trial 3 with value: 0.7752417975614934.
Trial 55 finished with value: 0.29896554494520544 and parameters: {'kernel': 'rbf', 'epsilon': 0.8612669019672049, 'degree': 6, 'C': 0.8145251653965851}. Best is trial 3 with value: 0.7752417975614934.
Trial 59 finished with value: 0.6991159098839081 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6894024488192316, 'degree': 6, 'C': 4.787362681346119}. Best is trial 3 with value: 0.7752417975614934.
Trial 65 finished with value: -0.06085160660919028 and parameters: {'kernel': 'linear', 'epsilon': 0.6313572834633047, 'degree': 3, 'C': 0.00013826834352558565}. Best is trial 3 with value: 0.7752417975614934.
Trial 61 finished with value: -0.0648330654655574 and parameters: {'kernel': 'rbf', 'epsilon': 0.995314429442078, 'degree': 4, 'C': 0.0005567322010985881}. Best is trial 3 with value: 0.7752417975614934.
Trial 57 finished with value: -0.04760168568943161 and parameters: {'kernel': 'linear', 'epsilon': 0.4226920266184284, 'degree': 5, 'C': 0.0007014707391438868}. Best is trial 3 with value: 0.7752417975614934.
Trial 70 finished with value: 0.3500477662182798 and parameters: {'kernel': 'linear', 'epsilon': 0.33203439311719873, 'degree': 6, 'C': 0.027405825891049396}. Best is trial 3 with value: 0.7752417975614934.
Trial 63 finished with value: 0.408880933587902 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9112914972782679, 'degree': 6, 'C': 0.9445286686944914}. Best is trial 3 with value: 0.7752417975614934.
Trial 64 finished with value: -0.06209159309449637 and parameters: {'kernel': 'poly', 'epsilon': 0.07893127095129704, 'degree': 4, 'C': 0.00010941324809906212}. Best is trial 3 with value: 0.7752417975614934.
Trial 71 finished with value: -0.06500022672624657 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9998366687540656, 'degree': 4, 'C': 0.00021861068552047664}. Best is trial 3 with value: 0.7752417975614934.
Trial 66 finished with value: -0.05092978353441123 and parameters: {'kernel': 'poly', 'epsilon': 0.1741478893541336, 'degree': 3, 'C': 0.01764924405654027}. Best is trial 3 with value: 0.7752417975614934.
Trial 67 finished with value: -0.055995180181540316 and parameters: {'kernel': 'linear', 'epsilon': 0.3931759660442832, 'degree': 4, 'C': 0.0003131638429436942}. Best is trial 3 with value: 0.7752417975614934.
Trial 68 finished with value: 0.6048745408873077 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6549487898096968, 'degree': 3, 'C': 2.1790433828642226}. Best is trial 3 with value: 0.7752417975614934.
Trial 73 finished with value: -0.05899494541866875 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9051424852756031, 'degree': 2, 'C': 0.007130811119387525}. Best is trial 3 with value: 0.7752417975614934.
Trial 69 finished with value: -0.05780700452746559 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.43021409628522556, 'degree': 5, 'C': 0.006460072175301311}. Best is trial 3 with value: 0.7752417975614934.
Trial 72 finished with value: 0.0007948658148190457 and parameters: {'kernel': 'linear', 'epsilon': 0.014581156046929444, 'degree': 4, 'C': 0.0029692585401415133}. Best is trial 3 with value: 0.7752417975614934.
Trial 74 finished with value: 0.027438922962497437 and parameters: {'kernel': 'linear', 'epsilon': 0.9281975472471763, 'degree': 4, 'C': 0.004331402914817171}. Best is trial 3 with value: 0.7752417975614934.
Trial 76 finished with value: -0.049949148420044345 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.6851951024690446, 'degree': 6, 'C': 0.01753321292538766}. Best is trial 3 with value: 0.7752417975614934.
Trial 75 finished with value: -0.05473419556496012 and parameters: {'kernel': 'poly', 'epsilon': 0.6693709499877789, 'degree': 5, 'C': 0.013289104088498892}. Best is trial 3 with value: 0.7752417975614934.
Trial 78 finished with value: -0.06153390376102286 and parameters: {'kernel': 'rbf', 'epsilon': 0.12371141299694088, 'degree': 2, 'C': 0.0011079344693683461}. Best is trial 3 with value: 0.7752417975614934.
Trial 77 finished with value: -0.06319896757084752 and parameters: {'kernel': 'poly', 'epsilon': 0.5567018748174389, 'degree': 3, 'C': 0.0006368763513150038}. Best is trial 3 with value: 0.7752417975614934.
Trial 84 finished with value: -0.042807519531623275 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.9392166090909181, 'degree': 5, 'C': 0.02728277422742346}. Best is trial 3 with value: 0.7752417975614934.
Trial 83 finished with value: -0.06200365683504381 and parameters: {'kernel': 'rbf', 'epsilon': 0.06845480298852002, 'degree': 5, 'C': 0.00023231687025137442}. Best is trial 3 with value: 0.7752417975614934.
Trial 82 finished with value: -0.06196293654722801 and parameters: {'kernel': 'poly', 'epsilon': 0.94095890128569, 'degree': 6, 'C': 0.003648091941283637}. Best is trial 3 with value: 0.7752417975614934.
Trial 80 finished with value: -0.05937051667532513 and parameters: {'kernel': 'rbf', 'epsilon': 0.07688174566774009, 'degree': 4, 'C': 0.00459300157351209}. Best is trial 3 with value: 0.7752417975614934.
Trial 85 finished with value: -0.06222001020873227 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.312373556867247, 'degree': 2, 'C': 0.000575394780683348}. Best is trial 3 with value: 0.7752417975614934.
Trial 81 finished with value: -0.06156480237112657 and parameters: {'kernel': 'poly', 'epsilon': 0.5332794380863357, 'degree': 2, 'C': 0.0036143896293270262}. Best is trial 3 with value: 0.7752417975614934.
Trial 87 finished with value: -0.0634834724863524 and parameters: {'kernel': 'poly', 'epsilon': 0.656629564514114, 'degree': 3, 'C': 0.0007613408501932044}. Best is trial 3 with value: 0.7752417975614934.
Trial 79 finished with value: -0.05698751582003858 and parameters: {'kernel': 'rbf', 'epsilon': 0.4954582099964622, 'degree': 3, 'C': 0.010955863984614803}. Best is trial 3 with value: 0.7752417975614934.
Trial 91 finished with value: -0.05330521442585323 and parameters: {'kernel': 'rbf', 'epsilon': 0.4128247750679488, 'degree': 2, 'C': 0.016522342837707468}. Best is trial 88 with value: 0.7768506091400382.
Trial 98 finished with value: -0.059786312291899325 and parameters: {'kernel': 'rbf', 'epsilon': 0.5881477040561238, 'degree': 2, 'C': 0.006826694027127755}. Best is trial 88 with value: 0.7768506091400382.
Trial 92 finished with value: -0.06196597463985961 and parameters: {'kernel': 'poly', 'epsilon': 0.22452012590874115, 'degree': 3, 'C': 0.0006872855641982995}. Best is trial 88 with value: 0.7768506091400382.
Trial 88 finished with value: 0.7768506091400382 and parameters: {'kernel': 'linear', 'epsilon': 0.028642911185148057, 'degree': 4, 'C': 1.816998877595234}. Best is trial 88 with value: 0.7768506091400382.
Trial 86 finished with value: 0.6779564967651419 and parameters: {'kernel': 'linear', 'epsilon': 0.42418182531355875, 'degree': 6, 'C': 0.1231623761563581}. Best is trial 88 with value: 0.7768506091400382.
Trial 101 finished with value: 0.7741271547161807 and parameters: {'kernel': 'linear', 'epsilon': 0.9039408761996515, 'degree': 3, 'C': 6.615109375641397}. Best is trial 88 with value: 0.7768506091400382.
Trial 100 finished with value: -0.06095900817544233 and parameters: {'kernel': 'sigmoid', 'epsilon': 0.30268532888461197, 'degree': 4, 'C': 0.002044142012698494}. Best is trial 88 with value: 0.7768506091400382.
Trial 90 finished with value: 0.0795846353366117 and parameters: {'kernel': 'linear', 'epsilon': 0.8359255316461776, 'degree': 4, 'C': 0.007061837410986655}. Best is trial 88 with value: 0.7768506091400382.
Trial 95 finished with value: -0.06361374087180552 and parameters: {'kernel': 'rbf', 'epsilon': 0.8018677869147874, 'degree': 5, 'C': 0.0014882153902067647}. Best is trial 88 with value: 0.7768506091400382.
