0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
5499.6,5172.2,5395.0,4889.6,6282.4,4412.2,3527.6,3101.4,2662.4,977.6,3482.2,2797.6,2119.4,1448.0,938.0,1895.6,201.8,1256.8,1008.4,1598.2,1356.0,1179.6,373.4,1096.0,1479.6,1482.0,661.0,865.8
5359.2,5142.4,5381.0,4809.6,6273.2,4364.2,3481.6,3063.4,2661.4,973.0,3365.2,2854.0,2091.2,1477.6,933.6,1892.6,195.8,1237.2,1002.2,1565.8,1317.8,1178.6,367.8,1096.4,1454.0,1475.2,606.2,761.4
5184.4,5121.0,5400.4,4720.8,6263.8,4486.4,3476.8,2948.0,2667.6,966.0,3198.4,2896.0,2086.2,1451.6,930.0,1890.4,192.4,1247.2,951.8,1491.2,1297.0,1178.4,363.8,1096.0,1423.4,1506.2,567.2,759.2
5068.0,5081.8,5385.0,4706.6,6275.2,4468.6,3459.6,2779.4,2693.0,937.8,3116.6,2924.2,2078.8,1432.4,931.2,1877.0,189.8,1270.2,913.2,1465.2,1286.4,1177.0,354.8,1096.0,1389.4,1333.6,560.0,749.4
4965.0,5038.8,5367.2,4709.2,6236.8,4478.6,3453.4,2705.2,2689.6,912.4,2916.8,2997.8,2072.4,1387.6,933.0,1873.6,236.8,1280.2,906.4,1410.6,1268.8,1174.6,346.0,1095.4,1277.2,1256.8,552.4,744.8
4909.2,4931.2,5307.6,4637.8,6134.2,4541.8,3446.0,2664.2,2671.4,894.8,2943.8,3044.2,2035.6,1353.0,932.4,1872.8,234.6,1279.0,906.2,1387.0,1247.8,1174.8,346.8,1107.8,1171.2,1253.0,550.6,744.4
4760.4,4771.8,5300.0,4630.8,6070.2,4576.0,3440.6,2629.8,2635.2,874.2,2951.6,3048.0,1968.2,1350.6,933.0,1874.8,259.2,1254.4,915.4,1368.2,1231.4,1174.8,347.0,1164.0,990.4,1249.2,550.2,748.0
4675.4,4708.2,5284.4,4632.4,6004.0,4592.8,3450.4,2609.6,2610.8,818.6,2903.6,3038.0,1953.8,1347.6,932.4,1865.2,266.2,1235.4,1164.0,1347.6,1165.8,1175.2,298.4,1160.2,893.4,1228.0,549.4,745.6
4629.2,4683.8,5246.2,4626.4,5858.0,4601.6,3454.2,2622.4,2606.6,815.8,2892.6,3026.0,1937.4,1350.0,931.8,1864.6,265.6,1204.4,1179.4,1278.8,1153.2,1172.8,295.2,1098.8,844.8,1222.6,550.8,746.0
4526.6,4637.6,5007.8,4605.8,5702.0,4606.8,3425.4,2683.0,2605.2,816.2,2893.6,3008.8,1937.4,1358.4,928.6,1869.6,270.2,1138.2,1051.2,1269.2,1128.4,1171.4,294.8,960.4,790.8,1230.4,550.0,747.0
