A new study created in RDB with name: Poly_ElasticNet_71149
Trial 78 finished with value: 0.7591477287962003 and parameters: {'n_components': 6, 'degree': 4, 'l1_ratio': 0.2958993603652619, 'max_iter': 36575}. Best is trial 89 with value: 0.8301173458287995.
Trial 91 finished with value: 0.40329091570703374 and parameters: {'n_components': 3, 'degree': 1, 'l1_ratio': 0.2107247225391039, 'max_iter': 98348}. Best is trial 89 with value: 0.8301173458287995.
Trial 83 finished with value: 0.7873060578886141 and parameters: {'n_components': 5, 'degree': 2, 'l1_ratio': 0.5632821810391885, 'max_iter': 42959}. Best is trial 89 with value: 0.8301173458287995.
Trial 7 finished with value: 0.7528767092878896 and parameters: {'n_components': 6, 'degree': 5, 'l1_ratio': 0.5079450823917778, 'max_iter': 41046}. Best is trial 89 with value: 0.8301173458287995.
Trial 89 finished with value: 0.8301173458287995 and parameters: {'n_components': 9, 'degree': 2, 'l1_ratio': 0.7382416381788734, 'max_iter': 19353}. Best is trial 89 with value: 0.8301173458287995.
Trial 88 finished with value: 0.8023648869618611 and parameters: {'n_components': 11, 'degree': 4, 'l1_ratio': 0.31814546857365267, 'max_iter': 56700}. Best is trial 89 with value: 0.8301173458287995.
Trial 93 finished with value: 0.44438982940401833 and parameters: {'n_components': 4, 'degree': 1, 'l1_ratio': 0.3625051646885945, 'max_iter': 31344}. Best is trial 89 with value: 0.8301173458287995.
Trial 97 finished with value: 0.6466275866040103 and parameters: {'n_components': 8, 'degree': 1, 'l1_ratio': 0.9812720391513406, 'max_iter': 37928}. Best is trial 89 with value: 0.8301173458287995.
Trial 102 finished with value: 0.323021999398004 and parameters: {'n_components': 1, 'degree': 3, 'l1_ratio': 0.5031550571253305, 'max_iter': 75395}. Best is trial 89 with value: 0.8301173458287995.
Trial 96 finished with value: 0.7880391950388199 and parameters: {'n_components': 5, 'degree': 2, 'l1_ratio': 0.8617839225776535, 'max_iter': 49034}. Best is trial 89 with value: 0.8301173458287995.
Trial 86 finished with value: 0.7981582825188996 and parameters: {'n_components': 8, 'degree': 3, 'l1_ratio': 0.3172622560979421, 'max_iter': 6241}. Best is trial 89 with value: 0.8301173458287995.
Trial 103 finished with value: 0.7740264562944597 and parameters: {'n_components': 3, 'degree': 3, 'l1_ratio': 0.3348741752527882, 'max_iter': 72876}. Best is trial 89 with value: 0.8301173458287995.
