0_0,0_164_aout,0_164_bout,0_246_aout,0_246_bout,0_82_aout,0_82_bout,360_0,360_164_aout,360_164_bout,360_246_aout,360_246_bout,360_82_aout,360_82_bout,660_0,660_164_aout,660_164_bout,660_246_aout,660_246_bout,660_82_aout,660_82_bout,960_0,960_164_aout,960_164_bout,960_246_aout,960_246_bout,960_82_aout,960_82_bout
1095.8,1814.6,1529.6,1967.0,1523.8,1403.2,1424.6,1678.2,1400.2,1364.2,1565.4,1415.4,1687.4,2223.8,1097.2,1307.0,1219.8,1055.8,1085.4,1525.8,1387.6,821.2,1629.6,1152.6,812.8,1413.8,1186.8,905.6
1104.8,1821.2,1551.4,1988.4,1531.6,1407.4,1452.4,1693.8,1410.4,1369.0,1584.2,1430.6,1701.8,2229.8,1109.0,1342.8,1236.0,1086.2,1089.4,1544.2,1399.4,828.6,1644.2,1161.8,834.0,1427.2,1211.4,923.8
1113.8,1818.0,1585.0,2018.2,1556.0,1419.6,1481.8,1703.8,1416.2,1379.8,1608.2,1438.6,1721.4,2242.0,1120.6,1367.0,1254.4,1107.4,1099.2,1563.0,1412.4,837.6,1652.2,1173.0,854.0,1440.8,1232.0,936.8
1120.0,1822.6,1613.0,2043.0,1568.4,1420.0,1508.4,1713.6,1419.0,1382.8,1618.6,1444.8,1736.0,2245.4,1131.2,1402.2,1268.0,1138.0,1107.0,1582.4,1429.8,847.8,1660.6,1180.8,868.0,1449.6,1249.4,958.4
1127.6,1829.0,1640.2,2062.0,1580.6,1422.8,1532.8,1719.8,1421.8,1388.2,1638.8,1455.0,1744.4,2253.6,1139.8,1429.6,1286.4,1163.0,1114.2,1597.0,1439.8,858.2,1671.4,1188.0,891.8,1462.6,1265.4,969.8
1140.0,1832.4,1662.6,2094.4,1600.8,1427.8,1558.2,1724.4,1427.6,1387.4,1657.8,1465.0,1756.4,2254.2,1148.6,1449.8,1306.4,1180.0,1123.0,1612.0,1446.8,864.6,1677.4,1194.4,908.2,1471.8,1283.8,979.2
1158.8,1846.2,1679.0,2126.0,1608.6,1430.8,1579.2,1728.6,1437.0,1377.2,1673.8,1475.0,1764.4,2254.8,1148.4,1468.2,1322.6,1194.8,1137.6,1629.6,1457.6,871.6,1681.6,1207.2,927.2,1484.4,1300.0,990.6
1182.8,1857.8,1695.6,2147.0,1618.0,1434.6,1600.2,1734.2,1434.8,1365.4,1692.2,1491.2,1767.4,2265.6,1149.2,1484.2,1336.2,1208.0,1161.0,1641.4,1465.8,879.4,1687.2,1221.2,939.8,1494.4,1311.4,1002.8
1200.0,1863.0,1709.0,2164.8,1626.6,1435.4,1616.6,1739.6,1440.0,1358.8,1712.6,1509.4,1766.4,2278.0,1158.2,1504.4,1345.0,1222.8,1189.4,1659.2,1472.8,889.8,1693.4,1228.6,951.2,1505.0,1323.4,1013.8
1216.6,1871.8,1725.4,2188.2,1639.6,1435.8,1634.8,1746.8,1444.4,1346.8,1730.8,1520.2,1771.0,2280.4,1163.2,1524.4,1357.4,1230.8,1209.8,1674.2,1486.0,900.0,1698.8,1235.4,955.6,1514.4,1337.8,1026.6
