case_name,count_sum,count_timeMean
office22_660_82_bout,99860.2,166.1567387687188
office22_960_0,77615.6,129.14409317803663
office22_960_164_aout,89042.8,148.1577371048253
office22_960_164_bout,99943.8,166.29584026622297
office22_960_246_aout,94001.2,156.4079866888519
office22_960_246_bout,143270.2,238.38635607321135
office22_960_82_aout,75634.4,125.84758735440931
office22_960_82_bout,98681.4,164.1953410981697
office28_0_0,346784.4,577.0123128119801
office28_0_164_aout,344352.2,572.965391014975
office28_0_164_bout,358926.4,597.2153078202996
office28_0_246_aout,365252.6,607.7414309484193
office28_0_246_bout,462283.0,769.1896838602329
office28_0_82_aout,289624.6,481.9044925124792
office28_0_82_bout,343058.4,570.8126455906822
office28_360_0,164747.2,274.1217970049917
office28_360_164_aout,147745.6,245.83294509151415
office28_360_164_bout,198483.4,330.25524126455906
office28_360_246_aout,147668.4,245.7044925124792
office28_360_246_bout,159826.2,265.93377703826957
office28_360_82_aout,172450.0,286.93843594009985
office28_360_82_bout,203355.2,338.3613976705491
office28_660_0,99921.0,166.25790349417636
office28_660_164_aout,191605.8,318.8116472545757
office28_660_164_bout,225935.2,375.9321131447588
office28_660_246_aout,176098.6,293.00931780366057
office28_660_246_bout,310379.2,516.4379367720466
office28_660_82_aout,148616.4,247.2818635607321
office28_660_82_bout,229041.4,381.10049916805326
office28_960_0,169757.0,282.4575707154742
office28_960_164_aout,154668.8,257.3524126455907
office28_960_164_bout,229308.8,381.5454242928452
office28_960_246_aout,90250.0,150.16638935108153
office28_960_246_bout,184017.0,306.1846921797005
office28_960_82_aout,156704.4,260.73943427620634
office28_960_82_bout,252079.2,419.43294509151417
office2_0_0,542230.0,902.2129783693844
office2_0_164_aout,357158.0,594.2728785357737
office2_0_164_bout,260040.0,432.67886855241267
office2_0_246_aout,196341.6,326.6915141430949
office2_0_246_bout,338083.8,562.5354409317804
office2_0_82_aout,499978.6,831.9111480865224
office2_0_82_bout,406863.4,676.977371048253
office2_360_0,82666.4,137.54808652246254
office2_360_164_aout,103670.2,172.49617304492511
office2_360_164_bout,239280.6,398.13743760399336
office2_360_246_aout,89630.2,149.1351081530782
office2_360_246_bout,233358.6,388.2838602329451
